id,project_id,name,role
1,1,Primary investigators Name Statistics South Africa,AUTHOR
2,2,Primary investigators Name Statistics South Africa,AUTHOR
3,3,Primary investigators Name Statistics South Africa,AUTHOR
4,4,Primary investigators Name Statistics South Africa,AUTHOR
5,5,Primary investigators Name Statistics South Africa,AUTHOR
6,6,Primary investigators Name Statistics South Africa,AUTHOR
7,7,Primary investigators Name Statistics South Africa,AUTHOR
8,8,Primary investigators Name Statistics South Africa,AUTHOR
9,9,Primary investigators Name Institute for Security Studies,AUTHOR
10,10,Primary investigators Name IDASA Public Opinion Service,AUTHOR
11,11,Primary investigators Name Affiliation South African Police Service Government of South Africa,AUTHOR
12,12,Primary investigators Name Affiliation Statistics South Africa Government of South Africa,AUTHOR
13,13,Primary investigators Name Affiliation Statistics South Africa Government of South Africa,AUTHOR
14,14,Primary investigators Name Institute for Security Studies,AUTHOR
15,15,Primary investigators Name Affiliation Statistics South Africa Government of South Africa,AUTHOR
16,16,Primary investigators Name Affiliation Statistics South Africa Government of South Africa,AUTHOR
17,17,Primary investigators Name International Labour Organisation,AUTHOR
18,18,Primary investigators Name Affiliation James L. Gibson Washington University in St. Louis. Department of Political Science,AUTHOR
19,19,Primary investigators Name Statistics South Africa,AUTHOR
20,20,Primary investigators Name Statistics South Africa,AUTHOR
21,21,Primary investigators Name Statistics South Africa,AUTHOR
22,22,Primary investigators Name Affiliation Sebastian Martinez Inter-American Development Bank Arianna Legovini World Bank Nandini Krishnan World Bank Aidan Coville World Bank,AUTHOR
23,23,Primary investigators Name Statistics South Africa,AUTHOR
24,24,Primary investigators Name Human Sciences Research Council,AUTHOR
25,25,"Primary investigators Name Affiliation Ghana Centre for Democratic Development (CDD) Ghana Institute for Justice and Reconciliation in South Africa (IJR) South Africa Institute for Empirical Research in Political Economy (IREEP) Benin Institute for Development Studies (IDS) Kenya Michigan State University (MSU) United States University of Cape Town (UCT, South Africa)",AUTHOR
26,26,Primary investigators Name Statistics South Africa,AUTHOR
27,27,Primary investigators Name Statistics South Africa,AUTHOR
28,28,Primary investigators Name Institute for Democracy in South Africa (IDASA) Michigan State University (MSU) Ghana Centre for Democratic Development (CDD-Ghana),AUTHOR
29,29,Primary investigators Name Institute for Democracy in South Africa Electoral Institute of South Africa,AUTHOR
30,30,Primary investigators Name Institute for Democracy in South Africa,AUTHOR
31,31,Primary investigators Name Institute for Democracy in South Africa,AUTHOR
32,32,Primary investigators Name Institute for Democracy in South Africa,AUTHOR
33,33,Primary investigators Name Human Sciences Research Council,AUTHOR
34,34,Primary investigators Name Institute for Democracy in South Africa (IDASA) Michigan State University (MSU) Ghana Centre for Democratic Development (CDD-Ghana),AUTHOR
35,35,Primary investigators Name Human Sciences Research Council,AUTHOR
36,36,Primary investigators Name Human Sciences Research Council,AUTHOR
37,37,Primary investigators Name Human Sciences Research Council,AUTHOR
38,38,Primary investigators Name Institute for Democracy in South Africa,AUTHOR
39,39,Primary investigators Name Affiliation Information and Knowledge Management Department City of Cape Town QSJ Consultants University of Stellenbosch Unit for Religion and Development Research University of Stellenbosch,AUTHOR
40,40,Primary investigators Name Institute for Democracy in South Africa (IDASA) Michigan State University (MSU) Ghana Centre for Democratic Development (CDD-Ghana),AUTHOR
41,41,Primary investigators Name Gauteng City-Region Observatory University of Johannesburg University of the Witwatersrand Gauteng Provincial Government South African Local Government Association (SALGA),AUTHOR
42,42,Primary investigators Name Human Sciences Research Council (HSRC),AUTHOR
43,43,Primary investigators Name Violence Prevention through Urban Upgrading Project,AUTHOR
44,44,Primary investigators Name University of Stellenbosch Department of Sociology Cape Metropolitan Council (CMC),AUTHOR
45,45,Primary investigators Name Affiliation International Bank for Reconstruction and Development The World Bank Group,AUTHOR
46,46,Primary investigators Name Human Sciences Research Council,AUTHOR
47,47,Primary investigators Name Human Sciences Research Council,AUTHOR
48,48,Primary investigators Name Institute for Democracy in South Africa (IDASA) Michigan State University (MSU) Ghana Centre for Democratic Development (CDD-Ghana),AUTHOR
49,49,"Primary investigators Name Affiliation Ghana Centre for Democratic Development (CDD) Ghana Institute for Justice and Reconciliation in South Africa (IJR) South Africa Institute for Empirical Research in Political Economy (IREEP) Benin Institute for Development Studies (IDS) Kenya Michigan State University (MSU) United States University of Cape Town (UCT, South Africa)",AUTHOR
50,50,Primary investigators Name Affiliation Statistics South Africa Government of South Africa,AUTHOR
51,51,Primary investigators Name Affiliation Ghana Statistical Service Government of Ghana,AUTHOR
52,52,"Primary investigators Name Affiliation Armando Barrientos Institute for Development Policy and Management, University of Manchester Peter Lloyd-Sherlock School of Development Studies, University of East Anglia",AUTHOR
53,53,Primary investigators Name Statistics South Africa,AUTHOR
54,54,Primary investigators Name Gauteng City-Region Observatory University of Johannesburg Unversity of the Witwatersrand Gauteng Provincial Government South African Local Government Association (SALGA),AUTHOR
55,55,Primary investigators Name Stellenbosch University Western Cape Government,AUTHOR
56,56,Primary investigators Name Ghana Centre for Democratic Development (CDD) Institute for Justice and Reconciliation in South Africa (IJR) Institute for Empirical Research in Political Economy (IREEP) Institute for Development Studies (IDS) Michigan State University (MSU) University of Cape Town (UCT),AUTHOR
57,57,Primary investigators Name Human Sciences Research Council,AUTHOR
58,58,Primary investigators Name Gauteng City-Region Observatory University of Johannesburg University of the Witwatersrand Gauteng Provincial Government South African Local Government Association (SALGA),AUTHOR
59,59,Primary investigators Name Statistics South Africa,AUTHOR
60,60,Primary investigators Name Affiliation School of Development Studies UKZN Durban Unicity Council World Bank Bureau of Market Research UNISA,AUTHOR
61,61,Primary investigators Name Institute for Democracy in South Africa (IDASA) Michigan State University (MSU) Ghana Centre for Democratic Development (CDD-Ghana),AUTHOR
62,62,Primary investigators Name Affiliation Southern Africa Labour and Development Research Unit University of Cape Town,AUTHOR
63,63,Primary investigators Name Gauteng City-Region Observatory University of Johannesburg University of the Witwatersrand Gauteng Provincial Government South African Local Government Association (SALGA),AUTHOR
64,64,Primary investigators Name Institute for Democracy in South Africa,AUTHOR
65,65,Primary investigators Name Human Sciences Research Council,AUTHOR
66,66,Primary investigators Name Affiliation Department of Political Science of Political Science Michigan State University,AUTHOR
67,67,Primary investigators Name World Values Survey Association,AUTHOR
68,68,"Primary investigators Name Affiliation Ghana Centre for Democratic Development (CDD) Ghana Institute for Justice and Reconciliation in South Africa (IJR) South Africa Institute for Empirical Research in Political Economy (IREEP) Benin Institute for Development Studies (IDS) Kenya Michigan State University (MSU) United States University of Cape Town (UCT, South Africa)",AUTHOR
69,69,Primary investigators Name Department of Social Development,AUTHOR
70,70,Primary investigators Name Gauteng City-Region Observatory,AUTHOR
71,71,Primary investigators Name Institute for Justice and Reconciliation,AUTHOR
72,72,Primary investigators Name Affiliation International Food Policy Research Institute School of Development Studies University of Natal (now University of Kwazulu-Natal) University of Wisconsin-Madison BASIS/CRSP project,AUTHOR
73,73,Primary investigators Name Human Sciences Research Council,AUTHOR
74,74,Primary investigators Name Gauteng City-Region Observatory,AUTHOR
75,75,Primary investigators Name Affiliation Centre for Social Science Research University of Cape Town,AUTHOR
76,76,Primary investigators Name International Labour Organisation,AUTHOR
77,77,Primary investigators Name Affiliation Professor Anne Case Princeton University,AUTHOR
78,78,Primary investigators Name Affiliation International Labour Organisation Centre for Social Policy Studies University of Ghana,AUTHOR
79,79,Primary investigators Name Sustainable Livelihoods Foundation,AUTHOR
80,80,Primary investigators Name Institute for Justice and Reconciliation,AUTHOR
81,81,Primary investigators Name Affiliation Professor Anne Case Princeton University,AUTHOR
82,82,Primary investigators Name Institute for Justice and Reconciliation,AUTHOR
83,83,Primary investigators Name Human Sciences Research Council,AUTHOR
84,84,Primary investigators Name Institute for Justice and Reconciliation,AUTHOR
85,85,Primary investigators Name Human Sciences Research Council,AUTHOR
86,86,Primary investigators Name Affiliation Professor Anne Case Princeton University,AUTHOR
87,87,Primary investigators Name Affiliation Ghana Centre for Democratic Development (CDD) Ghana Institute for Justice and Reconciliation in South Africa (IJR) South Africa Institute for Empirical Research in Political Economy (IREEP) Benin Institute for Development Studies (IDS) Kenya Michigan State University (MSU) United States University of Cape Town (UCT) South Africa,AUTHOR
88,88,Primary investigators Name Affiliation Statistics South Africa Government of South Africa,AUTHOR
89,89,Primary investigators Name Affiliation Kaplan Centre for Jewish Studies and Research University of Cape Town,AUTHOR
90,90,Primary investigators Name Affiliation Statistics South Africa Government of South Africa,AUTHOR
91,91,Primary investigators Name Affiliation Statistics South Africa Government of South Africa,AUTHOR
92,92,Primary investigators Name Affiliation Statistics South Africa Government of South Africa,AUTHOR
93,93,Primary investigators Name Affiliation Statistics South Africa Government of South Africa,AUTHOR
94,94,Primary investigators Name Affiliation Southern Africa Labour and Development Research Unit University of Cape Town,AUTHOR
95,95,Primary investigators Name South African Audience Research Foundation (SAARF),AUTHOR
96,96,Primary investigators Name Affiliation Statistics South Africa Government of South Africa,AUTHOR
97,97,Primary investigators Name Affiliation Malcolm Keswell University of Cape Town,AUTHOR
98,98,Primary investigators Name Affiliation School of Built Environment and Development Studies UKZN eThekwini Municipality World Bank Bureau of Market Research UNISA,AUTHOR
99,99,Primary investigators Name Research ICT Africa,AUTHOR
100,100,Primary investigators Name South African Audience Research Foundation (SAARF),AUTHOR
101,101,Primary investigators Name South African Audience Research Foundation (SAARF),AUTHOR
102,102,Primary investigators Name South African Audience Research Foundation (SAARF),AUTHOR
103,103,Primary investigators Name Affiliation Richard Gunther Ohio State University Paul Beck Ohio State University,AUTHOR
104,104,Primary investigators Name South African Audience Research Foundation (SAARF),AUTHOR
105,105,Primary investigators Name South African Audience Research Foundation (SAARF),AUTHOR
106,106,Primary investigators Name Norwegian Institute for Applied Social Science (Fafo) South African Department of Labour,AUTHOR
107,107,Primary investigators Name Affiliation Southern Africa Labour and Development Research Unit University of Cape Town,AUTHOR
108,108,Primary investigators Name World Health Organization (WHO),AUTHOR
109,109,Primary investigators Name South African Audience Research Foundation (SAARF),AUTHOR
110,110,Primary investigators Name Finmark Trust,AUTHOR
111,111,"Primary investigators Name Affiliation Hungry Cities Partnership, African Centre for Cities University of Cape Town",AUTHOR
112,112,Primary investigators Name Research ICT Africa,AUTHOR
113,113,Primary investigators Name South African Audience Research Foundation (SAARF),AUTHOR
114,114,Primary investigators Name South African Audience Research Foundation (SAARF),AUTHOR
115,115,Primary investigators Name Affiliation Rural AIDS & Development Action Research Programme University of the Witwatersrand London School of Hygiene and Tropical Medicine Small Enterprise Foundation,AUTHOR
116,116,"Primary investigators Name Affiliation School of Population and Poverty Studies University of Natal, Durban Horizons Project Policy Research Division, Population Council Focus on Young Adults MEASURE/Evaluation Project Tulane University, New Orleans, Louisiana, United States",AUTHOR
117,117,Primary investigators Name University of Cape Town University of Michigan,AUTHOR
118,118,Primary investigators Name Affiliation Institute for Jewish Policy Research Kaplan Centre for Jewish Studies University of Cape Town,AUTHOR
119,119,Primary investigators Name South African Audience Research Foundation (SAARF),AUTHOR
120,120,Primary investigators Name South African Audience Research Foundation (SAARF),AUTHOR
121,121,Primary investigators Name Affiliation Southern Africa Labour and Development Research Unit University of Cape Town,AUTHOR
122,122,Primary investigators Name Institute for Justice and Reconciliation,AUTHOR
123,123,Primary investigators Name University of Cape Town University of Michigan Princeton University,AUTHOR
124,124,Primary investigators Name South African Audience Research Foundation (SAARF),AUTHOR
125,125,"Primary investigators Name Affiliation Hungry Cities Partnership, African Centre for Cities University of Cape Town",AUTHOR
126,126,"Primary investigators Name Affiliation Hungry Cities Partnership, African Centre for Cities University of Cape Town",AUTHOR
127,127,Primary investigators Name South African Audience Research Foundation (SAARF),AUTHOR
128,128,"Primary investigators Name Affiliation Hungry Cities Partnership, African Centre for Cities University of Cape Town",AUTHOR
129,129,Primary investigators Name Human Sciences Research Council,AUTHOR
130,130,Primary investigators Name Affiliation University of Johannesburg Gauteng City-Region Observatory University of the Witwatersrand Gauteng City-Region Observatory Gauteng Provincial Government Gauteng City-Region Observatory South African Local Government Association (SALGA) Gauteng City-Region Observatory,AUTHOR
131,131,Primary investigators Name Affiliation University of Johannesburg Gauteng City-Region Observatory University of the Witwatersrand Gauteng City-Region Observatory Gauteng Provincial Government Gauteng City-Region Observatory South African Local Government Association (SALGA) Gauteng City-Region Observatory,AUTHOR
132,132,Primary investigators Name Human Sciences Research Council,AUTHOR
133,133,Primary investigators Name Gauteng City-Region Observatory University of Johannesburg University of the Witwatersrand Gauteng Provincial Government South African Local Government Association (SALGA),AUTHOR
134,134,Primary investigators Name Affiliation Stephen Taylor Department of Basic Education Brahm Fleisch University of the Witwatersrand,AUTHOR
135,135,Primary investigators Name Affiliation Stephen Taylor Department of Basic Education Brahm Fleisch University of the Witwatersrand,AUTHOR
136,136,Primary investigators Name Affiliation TIMSS & PIRLS International Study Center Boston College,AUTHOR
137,137,Primary investigators Name Affiliation Research Unit on the Economics of Excisable Products (REEP) University of Cape Town,AUTHOR
138,138,Primary investigators Name Affiliation Research on Open Educational Resources for Development University of Cape Town,AUTHOR
139,139,Primary investigators Name Affiliation Bureau of Market Research University of South Africa (UNISA),AUTHOR
140,140,Primary investigators Name Affiliation Bureau of Market Research University of South Africa (UNISA),AUTHOR
141,141,Primary investigators Name Affiliation Bureau of Market Research University of South Africa (UNISA),AUTHOR
