id,query_string,repository_id,repository_url,project_url,version,type,title,description,language,doi,upload_date,download_date,download_repository_folder,download_project_folder,download_version_folder,download_method
1,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/176,,QDA_PROJECT,Victims of Crime Survey 2011,,,https://doi.org/10.25828/6sst-7h76,2011,2026-04-17T18:18:25.804804+00:00,sada,176,,SCRAPING
2,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/414,,QDA_PROJECT,Victims of Crime Survey 2012,,,https://doi.org/10.25828/6g9c-3k80,2012,2026-04-17T18:18:50.344838+00:00,sada,414,,SCRAPING
3,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/177,,QDA_PROJECT,Victims of Crime Survey 1998,,,https://doi.org/10.25828/r9w2-9n50,1998,2026-04-17T18:19:06.981163+00:00,sada,177,,SCRAPING
4,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/785,,QDA_PROJECT,Victims of Crime Survey 2017-2018,,,https://doi.org/10.25828/8nb3-bg33,2017,2026-04-17T18:19:25.865981+00:00,sada,785,,SCRAPING
5,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/784,,QDA_PROJECT,Victims of Crime Survey 2016-2017,,,https://doi.org/10.25828/g8zj-gn22,2016,2026-04-17T18:19:40.190514+00:00,sada,784,,SCRAPING
6,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/783,,QDA_PROJECT,Victims of Crime Survey 2015-2016,,,https://doi.org/10.25828/801s-tq84,2015,2026-04-17T18:19:55.571850+00:00,sada,783,,SCRAPING
7,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/565,,QDA_PROJECT,Victims of Crime Survey 2014-2015,,,https://doi.org/10.25828/xapa-h647,2014,2026-04-17T18:20:07.735686+00:00,sada,565,,SCRAPING
8,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/511,,QDA_PROJECT,Victims of Crime Survey 2013-2014,,,https://doi.org/10.25828/vck7-eq75,2013,2026-04-17T18:20:26.526510+00:00,sada,511,,SCRAPING
9,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/178,,QDA_PROJECT,National Victims of Crime Survey 2003,,,https://doi.org/10.25828/jgz6-4721,2003,2026-04-17T18:21:08.956992+00:00,sada,178,,SCRAPING
10,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/190,,QDA_PROJECT,Crime and Community Action 1996-1997,,,https://doi.org/10.25828/1ak7-nj74,1996,2026-04-17T18:21:27.099881+00:00,sada,190,,SCRAPING
11,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/1012,,QDA_PROJECT,South African Police Service Annual Crime Records 2008-2023,,,https://doi.org/10.25828/5MAW-4H90,2008,2026-04-17T18:21:42.750656+00:00,sada,1012,,SCRAPING
12,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/904,,QDA_PROJECT,Governance Public Safety and Justice Survey 2020-2021,,,https://doi.org/10.25828/jnf2-3220,2020,2026-04-17T18:21:56.563231+00:00,sada,904,,SCRAPING
13,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/914,,QDA_PROJECT,Governance Public Safety and Justice Survey 2021-2022,,,https://doi.org/10.25828/95w6-pd03,2021,2026-04-17T18:22:12.565546+00:00,sada,914,,SCRAPING
14,,1,https://www.datafirst.uct.ac.za,https://www.datafirst.uct.ac.za/dataportal/index.php/catalog/179,,QDA_PROJECT,Victim Survey 2007,,,https://doi.org/10.25828/heqe-sb78,2007,2026-04-17T18:22:29.295953+00:00,sada,179,,SCRAPING
